"8th Grade Standardized Test Score","10th Grade GPA","8th Grade GPA","Income ($)","ParentEducation","Region","FeelGood","ChanceLuckImportant","DoThingsAsWellAsOthers","Misbehaving","ChatAboutActivities"
65.76000118255615,2.625,3.8,7,1,1,2,3,1,0,3
62.22249984741211,3,3.5,10,1,1,1,2,2,0,3
54.23500061035156,2.125,3.3,11,1,1,1,3,2,1,3
41.93000030517578,2.875,2.8,8,0,1,1,3,2,0,2
44.90000057220459,2.75,2.5,12,2,1,1,3,1,0,3
55.55000019073486,2.375,2.5,13,2,1,1,4,1,1,3
66.14249992370605,3.125,3.5,11,1,2,2,4,2,0,3
43.22000026702881,2.125,2.3,12,0,2,2,2,2,0,2
62.61249923706055,2.875,3.3,11,0,2,2,4,1,0,3
43.95750045776367,1.75,2,10,1,2,2,4,2,0,2
55.545000076293945,2.125,2.3,11,1,2,2,4,2,0,3
52.282501220703125,2.5,2.8,10,1,2,2,3,2,0,3
51.204999923706055,2.25,3,15,1,2,2,4,2,0,3
59.867499351501465,3.875,3.5,10,2,2,2,2,2,0,2
65.78749942779541,3.375,3.8,8,1,2,2,3,2,0,3
51.562499046325684,4,4,14,2,2,1,4,1,0,3
39.60249996185303,2.625,2.4,7,0,2,1,1,2,0,2
51.70750045776367,3,3.5,12,1,2,1,4,1,0,3
50.96000003814697,2.5,3,11,1,2,2,2,2,0,2
48.28750038146973,2.375,2.5,11,1,2,2,3,2,1,3
68.04500198364258,3.375,4,10,2,2,2,2,1,0,3
54.347500801086426,1.75,2.5,7,0,2,2,3,2,0,3
43.76249885559082,1.75,2.5,6,0,2,1,4,1,1,2
46.72000026702881,3.125,2.3,10,0,2,3,2,2,2,2
39.042500495910645,1.5,2.3,10,0,2,2,2,1,2,3
66.44500064849854,3.75,4,12,2,2,1,4,2,0,3
47.260000228881836,2.5,2.5,7,1,2,1,3,1,2,3
60.14250087738037,3.375,3.5,14,1,2,1,4,1,0,3
57.917500495910645,2.5,3,7,0,2,2,2,2,0,3
53.71000003814697,1,3.3,7,0,2,2,3,2,0,2
54.80000114440918,3.625,3.8,6,1,2,2,1,3,2,3
59.942501068115234,3,3.3,9,1,2,1,2,2,1,3
39.18499946594238,2.75,3.3,10,1,2,1,3,2,0,3
42.23750019073486,2.875,2.8,9,0,2,2,3,2,0,2
53.552499771118164,0.5,2.3,4,0,2,2,2,2,1,2
59.767499923706055,3.875,3.8,12,1,2,1,4,1,0,3
49.39999961853027,0.5,2.3,11,0,2,2,3,1,2,3
49.80999946594238,1.625,2,12,1,2,1,4,2,0,3
67.16500091552734,3.875,4,6,1,2,2,3,1,0,3
44.295000076293945,2.75,3,3,0,2,3,3,2,0,1
51.214999198913574,2.5,2.8,10,1,2,1,1,2,0,3
70.35000038146973,4,4,11,1,2,1,2,1,1,3
58.14750003814697,1.875,2.3,10,0,2,2,2,1,1,3
66.47999954223633,3.875,4,8,1,2,1,4,1,0,3
64.73999977111816,3.25,2.8,10,1,2,1,3,2,0,2
72.99749946594238,2.875,3.3,11,2,2,1,3,1,0,3
56.9950008392334,3.5,4,14,0,2,1,2,1,2,3
64.93750095367432,3.75,3,7,1,2,2,3,2,0,3
40.292500495910645,2.625,1.8,5,0,2,2,3,2,0,2
50.392499923706055,2.5,3.3,11,1,2,2,2,2,0,3
52.94250011444092,3.375,3.3,14,0,2,2,3,2,0,2
53.33500003814697,2.75,3.3,12,1,2,2,3,2,0,3
58.47500038146973,1.625,2,10,1,2,2,3,2,2,3
42.327500343322754,1.75,3.8,10,2,2,1,2,2,0,3
53.76249980926514,3.5,3.5,11,0,2,1,4,4,0,2
56.92000102996826,3.5,3.5,10,1,2,1,3,1,0,3
54.62249946594238,2.875,1.9,11,2,2,1,2,1,2,3
61.52500057220459,3.625,3.8,11,2,2,1,3,1,1,2
73.05500030517578,3.75,4,12,2,2,2,3,1,0,3
70.91249942779541,3.375,3.5,12,2,2,2,3,2,0,3
54.64999961853027,3,3.3,11,0,2,2,3,1,0,3
51.16749954223633,1.75,3.3,11,1,2,1,1,2,1,2
51.152499198913574,1.875,2.4,9,0,2,3,2,2,0,3
58.66999912261963,2.75,3.3,11,2,2,2,1,1,0,2
38.45500087738037,1.375,1.8,11,0,2,1,2,2,1,2
39.70249938964844,3,2.8,10,1,2,2,2,3,0,2
41.820000648498535,3.25,2.4,7,0,2,2,1,2,0,1
44.957499504089355,3.625,4,11,1,2,2,3,2,0,2
53.232500076293945,3.625,4,10,1,2,2,3,2,0,3
44.72000026702881,2.125,1.4,5,0,2,2,2,2,2,2
62.06999969482422,3.125,3.5,10,1,2,1,4,2,0,3
62.320000648498535,3.625,4,13,1,2,2,3,2,0,2
53.05249881744385,1.625,3.5,10,1,2,1,3,1,1,3
61.96250057220459,4,3.5,12,1,2,3,3,3,0,3
43.427499771118164,2,2.7,10,1,2,1,1,1,1,2
65.6225004196167,3.25,3,10,1,2,2,3,1,0,2
68.41000080108643,3.75,2.8,7,0,2,1,3,2,0,2
38.74499988555908,0.5,2.8,9,0,2,2,3,2,0,3
52.97249984741211,3.625,3.5,10,1,2,2,4,2,0,3
55.327500343322754,3.375,3.8,11,1,2,1,4,2,0,3
46.03750038146973,2.625,2.5,10,0,2,2,3,2,0,3
45.90749931335449,2.625,2.5,10,1,2,2,3,2,1,2
47.882500648498535,2.25,2.5,4,0,2,1,3,1,0,3
58.55999946594238,3.375,3.3,11,1,2,1,2,2,0,3
56.41250133514404,3.375,3.5,12,1,2,2,2,1,0,3
52.05749988555908,3.875,3.5,12,1,2,1,3,1,0,2
50.52499961853027,2.25,2,9,1,2,2,3,2,1,3
51.28999996185303,2.75,2.5,11,2,2,2,3,1,0,2
60.31999969482422,3.375,3.5,12,1,2,2,3,2,1,2
37.125,2.875,2.5,10,2,2,2,2,2,0,2
48.47749996185303,2.75,2.5,11,1,2,2,2,2,0,2
59.570000648498535,4,4,11,0,2,1,2,1,1,3
46.91749954223633,3,3,8,1,2,2,1,1,0,3
62.125,2.25,3.3,5,1,2,2,2,2,0,3
41.9325008392334,1.5,2.5,10,1,2,1,3,1,1,3
45.60249996185303,3.125,2.5,10,1,2,2,3,2,0,2
49.332499504089355,2.75,2.3,11,1,2,2,4,1,0,3
39.22500038146973,2.5,4,9,0,2,1,4,1,0,3
51.86750030517578,1.875,1.8,9,1,2,2,2,2,0,1
51.49499988555908,3,3.3,11,0,2,2,4,2,1,2
53.197500228881836,2,3,12,0,2,3,2,3,0,3
52.3174991607666,3.5,3,8,1,2,2,3,2,2,1
50.28999996185303,2.5,2.8,11,1,2,2,2,2,0,3
50.53999900817871,2.125,3,10,1,2,2,4,2,0,3
59.0625,2.375,3.5,10,1,2,1,4,1,1,3
61.432498931884766,3.125,3.5,12,2,2,2,3,2,0,1
40.24749946594238,2.25,2,11,1,2,2,3,2,0,3
55.26250076293945,2.75,3,10,1,2,2,4,2,0,3
46.177499771118164,3.375,2,10,0,2,2,4,2,0,3
54.9375,3.5,4,15,1,2,1,2,1,0,3
35.277499198913574,1.875,3,12,1,2,1,1,1,0,3
41.17500019073486,2.5,2.1,10,0,2,2,3,2,1,3
53.5600004196167,2.5,2.5,11,0,2,1,1,1,0,2
49.82999897003174,2.625,3.5,11,1,2,2,4,2,0,3
55.345001220703125,3.25,3.5,10,1,2,1,3,1,0,2
45.660000801086426,3.125,3.8,13,2,2,2,4,1,0,3
62.24250030517578,4,3.5,13,1,2,1,2,2,0,3
39.69499969482422,2.75,2.8,10,1,2,2,2,2,1,2
59.00999927520752,3.375,3.5,6,1,2,1,4,1,0,1
51.94499969482422,1.75,1.8,8,1,2,3,2,2,0,2
63.84499931335449,2.75,1.9,4,0,2,2,3,2,2,3
39.625,2.5,3,8,0,2,2,3,2,0,3
63.51749897003174,3.625,3.8,11,1,2,1,3,2,1,3
55.75749969482422,2.875,3.5,9,1,2,2,3,1,0,3
39.45249938964844,2.5,3,9,1,2,1,3,2,0,3
59.619998931884766,3.625,3.3,9,1,2,2,3,2,0,2
60.61750030517578,2.25,3,12,1,2,2,2,1,0,2
38.5649995803833,2.625,2.7,7,1,2,1,2,1,2,2
49.58500099182129,2,1.8,10,0,2,3,2,2,0,3
51.614999771118164,2.625,2.5,10,0,2,1,3,2,2,3
42,1.25,1,12,0,2,1,4,1,1,2
54.74249839782715,2.5,3,11,1,2,2,3,3,0,3
55.4399995803833,3.5,3.5,11,1,2,2,3,2,0,3
55.65250015258789,3.375,2.8,12,1,2,2,2,2,0,3
45.64999866485596,1.5,2.5,13,2,2,2,4,2,1,3
70.61999893188477,3,4,13,2,2,2,3,1,0,3
40.26749897003174,2,2,14,1,2,1,4,1,2,3
46.63749980926514,1.875,3,8,0,2,2,2,3,0,3
58.717498779296875,4,4,9,1,2,1,3,2,0,3
60.44250011444092,3.125,3,8,1,2,2,3,1,0,2
58.422499656677246,2.75,2.3,7,2,2,2,3,2,0,2
53.41749954223633,3.5,3,8,1,2,2,2,2,0,3
40.13749980926514,2.875,1.8,7,0,2,2,2,2,2,2
63.28999996185303,2.5,3,12,2,2,1,2,2,1,3
45.68249988555908,2.625,2.8,11,0,2,2,2,2,0,3
55.83749866485596,3.625,3.5,8,1,2,2,3,1,0,2
39.38750076293945,1.5,1.6,7,1,2,2,4,2,2,2
36.23249959945679,2.5,2.5,13,1,2,1,1,2,2,2
53.71249961853027,3.375,3,6,1,2,2,3,2,1,2
46.58750057220459,2.375,1.5,8,0,2,2,4,2,1,2
59.34749984741211,2.625,2.5,7,0,2,2,3,2,0,2
66.86500072479248,3.625,4,8,2,2,2,3,2,0,3
45.84250068664551,1.5,1.8,6,1,2,3,2,1,0,3
40.19999980926514,3.875,2.6,9,0,2,2,4,2,0,2
53.322500228881836,3.5,2.5,10,0,2,2,4,3,1,2
51.44000053405762,2.625,2.5,12,1,2,2,3,1,0,3
49.795000076293945,2.75,2.5,6,0,2,2,3,2,0,2
64.0024995803833,3.75,3,11,0,2,3,3,2,0,3
60.51499938964844,3.75,3.5,11,0,2,2,4,1,0,3
63.89250087738037,3.375,3.3,11,1,2,1,3,1,0,2
73.00749969482422,4,4,13,2,2,2,3,2,0,3
60.72749996185303,1.75,2.3,10,1,2,1,4,2,0,3
46.55500030517578,2.5,2.8,9,1,2,1,2,1,0,2
39.84000110626221,2.375,3,8,1,2,2,3,2,0,3
45.60499954223633,2.5,3,11,1,2,2,2,2,0,2
47.795000076293945,2.875,2.3,11,1,2,3,3,2,2,1
62.855000495910645,2.625,3,12,2,2,2,3,1,0,3
57.142499923706055,4,4,10,0,2,2,4,2,0,2
55.109999656677246,3.75,3.5,9,1,2,2,2,1,0,2
40.177499771118164,2.625,2.5,7,0,2,3,2,2,1,3
37.34250068664551,1.5,2.1,12,0,2,3,2,2,2,2
41.5600004196167,2.875,2.7,8,0,1,1,3,3,0,2
52.357500076293945,1.875,3.3,11,2,1,2,3,2,1,3
40.22500038146973,2.5,3,10,1,1,2,2,1,1,1
54.19000053405762,3.125,2.8,12,1,1,2,3,1,0,2
56.19749927520752,3.875,4,10,1,1,2,3,2,0,3
50.855000495910645,2.25,2.2,11,0,1,2,1,2,0,2
55.57750129699707,3.25,4,11,1,1,3,3,1,0,2
54.24250030517578,2.375,3.5,9,0,1,2,2,1,0,2
40.392499923706055,1.125,2.5,11,1,1,1,2,2,0,2
50.77000045776367,2.625,3.3,11,1,1,1,4,1,0,3
51.34000015258789,2.5,2.4,12,2,1,1,4,2,0,3
60.61250019073486,3.625,3.3,14,2,1,2,4,1,0,2
50.26749897003174,3.25,3.3,11,1,1,2,4,3,0,3
67.8650016784668,4,4,7,0,2,1,4,1,0,3
59.32250118255615,4,4,10,1,2,2,4,2,0,3
59.232500076293945,2.75,3,6,1,2,2,4,3,0,3
41.542500495910645,1.625,2.1,8,0,2,2,1,1,0,3
59.77000045776367,2.875,2.8,11,1,2,2,2,2,0,2
68.84999942779541,3.75,4,12,1,2,2,3,2,0,2
47.25500011444092,2.75,2.8,12,1,2,2,2,2,0,2
56.61250019073486,3.125,3.5,10,1,1,2,2,2,0,3
60.79249954223633,3.25,3.8,8,1,2,1,3,1,2,3
56.08749961853027,2.5,3.8,12,1,2,1,2,1,2,3
51.767499923706055,4,3.3,10,1,2,2,4,2,0,2
66.34500026702881,3.5,4,11,1,2,1,4,1,0,3
66.75999927520752,3.5,3.5,10,2,1,2,3,2,0,3
45.079999923706055,2.125,2,11,0,1,1,3,1,0,2
58.65750026702881,3.75,4,12,2,1,3,2,1,0,2
45.47999954223633,1,3.5,8,1,1,2,4,2,0,2
45.047499656677246,2.5,3,7,1,2,2,3,1,0,2
46.97249984741211,2.75,2.5,11,1,2,2,2,2,0,3
64.86750030517578,2,4,11,1,2,2,4,1,0,3
56.34999942779541,3.5,3.3,14,2,2,2,3,2,0,3
60.38000011444092,1.25,3.3,12,1,2,2,3,2,0,3
61.48499870300293,2.375,3,11,2,2,2,3,2,0,2
61.670000076293945,3.75,4,15,2,2,2,2,1,0,3
35.46500015258789,2.75,3.3,6,0,3,1,1,1,0,3
42.390000343322754,2.125,2.5,10,1,3,2,1,1,0,3
64.69500064849854,3.75,3,10,1,3,2,4,2,0,3
39.757500648498535,2.125,2.8,7,0,3,1,4,1,1,2
65.02000045776367,3.25,3.8,10,1,3,2,3,2,0,3
64.8149995803833,3.25,4,13,1,3,2,4,2,0,3
42.83500099182129,2.625,3,4,1,3,2,2,2,1,2
46.517499923706055,3.5,4,10,0,3,1,1,1,0,2
45.27999973297119,3.125,2.5,8,1,3,1,2,2,0,3
70.92749977111816,3,4,11,2,3,2,3,1,0,3
40.78250026702881,2.5,2.5,11,2,3,2,3,3,0,2
57.345001220703125,2.875,3,10,1,3,1,3,2,0,3
52.03000068664551,2.25,4,11,0,3,2,4,1,0,3
46.00500011444092,3.5,2.8,10,0,3,2,3,2,0,2
57.447500228881836,2.375,3.8,10,1,3,2,1,1,1,3
57.57249927520752,3.875,3.8,11,1,3,1,4,1,0,3
53.13999938964844,2,3.5,8,1,3,1,2,1,0,3
38.3149995803833,0.875,1.5,8,0,3,2,1,1,0,2
37.09499931335449,2.125,2.3,2,0,3,2,1,2,1,2
41.07499980926514,2.25,2.5,8,0,3,1,2,2,0,2
59.61250019073486,3.25,3.8,8,1,3,2,4,1,0,3
44.50749969482422,3.375,3.5,10,0,3,2,3,2,0,2
41.03750038146973,3.25,2.3,10,0,3,1,4,1,1,1
57.464999198913574,2.625,3.3,14,0,3,2,3,2,0,3
41.222500801086426,3,1.6,14,0,3,1,3,2,0,2
46.972500801086426,3,2.8,10,1,3,2,3,2,0,2
64.15249919891357,3.75,3.5,12,1,3,1,4,2,0,2
43.90499973297119,1.375,1.5,5,0,3,2,3,2,0,1
65.79500007629395,3.875,3.8,8,1,3,2,4,1,0,2
41.38000011444092,2.375,2.8,8,0,3,1,3,2,0,2
39.929999351501465,2.375,2.5,10,1,3,1,2,2,1,3
59.77750015258789,3.875,4,11,1,3,1,3,1,0,1
45.78499984741211,2,2.5,9,0,3,3,3,3,0,2
54.51249980926514,2.375,3.8,10,1,3,2,3,2,0,3
59.38749980926514,4,3.5,10,1,3,2,3,2,0,3
67.25500106811523,3.625,4,11,1,3,1,4,2,0,3
49.17500019073486,3.125,3.3,6,1,3,1,2,2,0,2
56.8774995803833,3.25,3.8,11,2,3,3,4,2,0,1
49.947500228881836,3.625,3.8,10,0,3,1,4,1,0,3
42.65250015258789,1.625,2.5,7,0,3,2,4,2,0,2
46.6825008392334,3.375,4,7,0,3,1,4,2,0,3
39.77750015258789,2.625,3,6,2,3,1,1,1,0,3
66.53249931335449,3.625,3.3,12,2,3,2,3,2,0,3
42.02499961853027,1,2.5,9,1,3,2,2,1,1,3
51.505001068115234,3.25,3.5,4,0,3,2,2,2,0,3
46.03999996185303,3.25,2.5,11,1,3,1,4,1,0,3
48.6225004196167,2.75,3.5,10,0,3,1,1,3,0,3
46.02250003814697,3.125,2.5,3,0,3,1,4,1,0,2
55.4950008392334,3.125,2.5,11,1,3,2,3,2,0,3
35.42500066757202,3.375,2.5,7,0,3,2,2,3,1,3
58.9325008392334,4,4,10,0,3,2,4,1,0,3
40.74749994277954,3.625,3.8,6,0,3,1,3,1,0,3
57.82749938964844,3,4,7,0,3,1,4,1,0,3
52.50250053405762,2,3.3,9,0,3,3,3,3,0,2
40.929999351501465,1.625,2,5,0,3,2,3,2,0,3
45.672499656677246,2.5,2.3,5,0,3,4,4,2,0,2
49.364999771118164,3.125,4,11,2,3,2,4,1,0,3
44.6875,3,2,7,1,3,2,2,1,0,3
41.1850004196167,2.5,2.5,8,1,3,2,3,2,0,3
58.867499351501465,3.5,3.5,12,1,3,2,4,1,0,3
66.78750038146973,3.625,4,12,1,3,1,3,1,0,3
40.55250072479248,2.25,2,4,1,3,2,3,2,0,3
42.13749980926514,1.75,3.3,3,1,3,1,1,1,0,3
56.897499084472656,3.5,4,11,2,3,1,3,1,0,3
64.52999877929688,4,4,12,2,3,2,3,2,0,3
43.329999923706055,2.625,2.4,11,1,3,3,1,2,0,2
43.09999942779541,2.5,1.3,9,0,3,2,2,2,2,2
45.26749897003174,2.875,1.9,11,1,3,1,3,2,0,1
48.797499656677246,3.5,3.8,11,1,3,2,4,1,0,3
39.95750045776367,1.375,2.5,3,2,3,2,2,3,1,2
46.079999923706055,2.375,1.8,8,1,3,2,3,1,2,2
57.2524995803833,4,4,12,1,3,2,3,1,0,3
61.10249996185303,4,4,7,0,3,2,4,1,0,3
45.182498931884766,3.5,3.8,9,0,3,2,2,2,0,2
52.34749984741211,3.25,3,10,1,3,1,3,1,0,3
42.39750003814697,2.5,4,12,1,3,1,2,2,0,3
52.00999927520752,2.75,3,9,2,3,2,2,2,0,1
48.839999198913574,2.625,2.5,8,0,3,2,2,2,0,2
44.59999942779541,3.125,3,10,1,3,1,2,2,0,2
65.29250049591064,3.5,4,10,1,3,4,3,3,0,3
42.85499954223633,1.375,2,5,0,3,1,3,2,0,2
58.59999942779541,4,4,10,1,3,1,3,2,0,1
52.3100004196167,3.5,3.3,8,0,3,1,3,1,0,3
49.952500343322754,3.625,3.8,8,1,3,1,3,1,0,3
52.5600004196167,3.25,3.3,6,1,3,2,3,2,0,3
46.47500038146973,3.25,3,2,1,3,1,1,2,0,2
43.96999931335449,3.25,3.8,10,0,3,1,1,2,0,2
35.43999910354614,2.125,1.2,11,1,3,1,1,3,0,2
44.75999927520752,2.625,2.3,10,1,3,2,3,2,0,3
41.11249923706055,1.375,2.5,12,1,3,2,1,2,0,2
59.562499046325684,2.5,2.8,11,1,3,2,4,1,0,2
57.13749885559082,3.125,3.3,13,1,3,2,4,2,0,3
44.992499351501465,2.5,1.8,11,1,3,2,3,2,0,2
36.3149995803833,1.5,2,9,0,3,2,3,1,0,1
48.44999980926514,3.875,4,11,1,3,2,4,2,0,3
49.757500648498535,3,3.3,10,1,3,1,4,2,0,3
55.0625,2.375,2.3,11,2,3,2,3,2,1,2
39.234999656677246,1.75,1.8,9,0,3,2,3,3,0,1
48.01499938964844,3.375,3.3,7,1,3,2,3,1,1,3
46.55000019073486,2.875,2.5,9,1,3,1,3,2,0,3
39.71750068664551,1.75,1.8,13,0,3,2,2,2,1,2
44.27750015258789,3.125,2.8,8,1,3,2,2,1,0,3
44.697500228881836,2.5,2.5,7,1,3,2,2,2,1,2
38.99250030517578,2.5,2.7,3,1,3,1,1,1,1,3
56.13249969482422,2.5,3.5,12,1,3,2,3,2,0,2
40.515000343322754,2.625,3,3,0,3,1,2,2,0,1
45.52499961853027,2.625,3,7,0,3,2,3,2,1,1
41.75749921798706,3.25,3.3,5,0,3,2,2,2,0,2
55.572500228881836,3.5,3.3,5,0,3,2,3,2,1,2
60.21250057220459,2.125,3,14,2,3,2,4,1,0,3
58.3149995803833,3.375,2.5,10,0,3,2,3,1,1,1
44.55250072479248,2.625,2.3,9,0,3,2,2,1,0,2
39.84250068664551,1.875,2.5,9,0,3,2,3,2,0,3
59.36000061035156,3.875,3.8,10,1,3,2,3,1,0,3
56.052499771118164,4,4,11,1,3,2,2,2,0,2
53.1850004196167,3.125,3.8,10,1,3,2,2,2,1,2
44.65250015258789,3,3,5,0,3,1,3,1,1,3
65.27749919891357,4,4,12,1,3,2,2,2,0,3
48.98249912261963,3.375,3.5,3,1,3,1,1,1,0,3
38.579999923706055,3.625,3.3,8,0,3,2,2,2,0,1
40.96000003814697,2.5,3,7,1,3,1,1,2,1,2
43.73250102996826,3.25,2.5,4,1,3,1,1,1,0,2
41.945000648498535,2.875,3.3,11,1,3,2,3,2,0,2
55.32499980926514,3.75,3.5,9,1,3,1,1,2,1,1
53.33000087738037,4,4,10,1,3,1,3,1,0,3
47.61500072479248,2.75,3,11,1,3,1,3,1,2,1
52.78499984741211,2.25,3.3,7,1,3,1,3,1,0,3
58.0625,4,4,9,0,3,2,4,1,0,3
52.87249946594238,3.25,3,11,1,3,2,3,3,0,3
57.71000003814697,4,4,11,1,3,2,2,2,0,3
51.55500030517578,3.125,3.5,10,1,3,2,3,1,0,3
59.67500019073486,3.5,3,10,1,3,1,3,1,0,3
51.0649995803833,3,3,11,1,3,2,2,2,0,2
63.997501373291016,3.75,4,13,2,3,2,3,2,0,3
37.09500074386597,2.875,3,10,1,3,2,2,2,0,3
55.40499973297119,3.625,3.8,9,0,3,1,3,2,1,3
64.33250045776367,3.25,3.3,11,1,3,2,3,2,0,3
61.695000648498535,3.25,4,9,0,3,2,3,2,0,2
47.932498931884766,3.5,3.3,5,1,3,2,2,2,0,3
47.10249900817871,3.25,3.3,11,1,3,2,1,2,0,3
51.6899995803833,3.125,3.1,9,0,3,2,3,2,1,3
53.39250087738037,3.625,4,8,0,3,2,2,3,0,3
39.49250030517578,1.75,2,4,0,3,1,3,1,0,2
45.65500068664551,3.375,2.5,9,0,3,2,3,2,1,3
54.35499954223633,2.5,3,10,1,3,2,4,3,0,2
49.529998779296875,3,3,10,1,3,1,3,2,0,2
42.72000026702881,1.625,2,9,1,3,2,3,1,2,3
52.08500003814697,2.875,1.8,7,0,3,2,2,2,0,2
47.41499900817871,1.375,2.4,4,0,3,2,2,2,0,3
50.60000038146973,3.25,3.8,9,0,3,1,2,1,0,2
53.035000801086426,3.125,3.3,10,0,3,1,3,1,1,3
45.85499954223633,2.875,3.3,11,1,3,1,4,2,0,3
38.510000228881836,2.625,2.5,2,0,3,2,1,2,0,3
46.125000953674316,3.5,3,10,1,3,2,2,1,0,3
46.114999771118164,3.5,3,7,0,3,2,3,2,0,1
52.4350004196167,3.5,3,11,1,3,1,1,1,1,3
46.682498931884766,3,3.3,11,1,3,2,3,1,1,3
39.07749938964844,1.75,2.3,10,1,3,2,3,1,1,3
50.13750076293945,3.5,3,12,1,3,2,3,1,0,1
47.14500045776367,3.75,3.5,5,0,3,2,4,1,0,2
66.30000114440918,3.625,3.8,12,1,3,2,2,2,0,3
71.94499778747559,3.5,4,12,2,3,2,4,1,2,2
47.767499923706055,3,3,11,0,3,2,3,2,0,3
51.17500019073486,3.25,3.3,11,0,3,2,3,1,1,3
63.44999980926514,3.625,4,11,2,3,2,3,2,1,2
62.392499923706055,4,4,11,0,3,1,4,1,0,2
43.222500801086426,2.125,3,9,1,3,2,3,1,0,2
47.17499923706055,3.375,2.2,12,1,3,2,1,2,0,2
54.38750076293945,4,4,12,1,3,2,3,2,0,3
55.50749969482422,2.5,2.8,12,2,3,2,2,1,0,3
43.88000011444092,3.125,3,13,2,3,2,3,1,0,3
68.02250003814697,3.75,4,11,1,3,1,4,1,2,3
52.8075008392334,2.875,2,10,0,3,2,2,2,0,2
57.4950008392334,4,4,12,1,3,1,3,1,0,3
61.65999984741211,3.75,4,9,1,3,1,2,2,0,3
61.197500228881836,3.75,3.8,10,1,3,1,3,2,0,3
42.53750038146973,1.75,2.3,9,1,3,2,3,2,0,2
37.195000648498535,2.625,2.5,7,0,3,2,2,2,1,3
44.09000015258789,2.75,2.1,12,1,3,2,1,2,1,3
46.739999771118164,2.75,2.8,11,0,3,2,3,1,0,3
60.62750053405762,2.5,4,11,1,3,1,4,2,0,3
35.61999988555908,1.5,1.8,7,2,3,1,4,1,2,3
57.55749988555908,2.75,4,10,1,3,2,4,2,0,3
39.677499771118164,2.75,3.3,7,0,3,1,3,1,0,3
59.670000076293945,4,4,10,1,3,2,4,1,0,3
47.97749996185303,1.875,2.8,10,1,3,2,2,1,0,2
55.982500076293945,1.625,1.6,6,1,3,2,3,1,0,2
53.63000011444092,3.875,4,8,1,3,1,4,1,0,3
45.892499923706055,3.125,3.3,10,1,3,2,3,2,1,2
43.359999656677246,2.125,2,10,1,3,2,4,2,0,2
